# Data7
# zs, mu, muerr
0.022183, 19.6626, 0.0733
0.025017, 19.7425, 0.0863
0.030548, 20.4200, 0.0993
0.037793, 20.8113, 0.0707
0.040797, 21.1231, 0.0980
0.041765, 21.0882, 0.0562
0.043854, 21.2216, 0.0856
0.049766, 21.2565, 0.0754
0.060610, 21.9411, 0.0616
0.067716, 22.1798, 0.0608
0.068928, 22.0626, 0.0865
0.072121, 22.4269, 0.0928
0.073364, 22.3282, 0.0952
0.075471, 22.2390, 0.0762
0.078317, 22.4654, 0.0555
0.091492, 22.7480, 0.0727
0.109134, 23.2975, 0.0681
0.110020, 23.2259, 0.1020
0.123910, 23.4455, 0.0600
0.124139, 23.5857, 0.1046
0.134115, 23.9144, 0.1018
0.136710, 23.8996, 0.0719
0.138906, 23.8145, 0.0911
0.139418, 23.8447, 0.0702
0.148662, 23.9098, 0.0687
0.154820, 24.0661, 0.0674
0.162350, 24.1275, 0.0999
0.162920, 24.0719, 0.0637
0.169133, 24.1858, 0.0803
0.169586, 24.2237, 0.0768
0.170923, 24.2845, 0.0793
0.176165, 24.1804, 0.0786
0.177011, 24.5806, 0.0824
0.180092, 24.3803, 0.0994
0.188156, 24.3512, 0.1046
0.207104, 24.7653, 0.0602
0.210187, 24.7627, 0.0663
0.211583, 24.9095, 0.0920
0.212960, 24.7618, 0.0928
0.220379, 24.9511, 0.0584
0.222403, 24.9003, 0.0581
0.234328, 25.2406, 0.0697
0.234865, 25.0226, 0.0551
0.234941, 25.1554, 0.0960
0.238508, 25.1614, 0.0553
0.239902, 25.1118, 0.0940
0.248115, 25.3093, 0.0560
0.251004, 25.2340, 0.0849
0.252697, 25.2084, 0.0658
0.256898, 25.3252, 0.0804
0.266340, 25.2093, 0.0932
0.269495, 25.3950, 0.0702
0.270337, 25.3731, 0.0684
0.273624, 25.4041, 0.0766
0.277562, 25.3952, 0.0913
0.281172, 25.4986, 0.0694
0.293906, 25.7525, 0.0825
0.294696, 25.6195, 0.0958
0.310298, 25.6260, 0.0923
0.311739, 25.7196, 0.1039
0.313673, 25.8426, 0.0766
0.315154, 25.8281, 0.0552
0.315612, 25.7658, 0.0673
0.324511, 25.8520, 0.1013
0.327130, 25.8287, 0.0663
0.338269, 25.8794, 0.1024
0.343116, 25.9808, 0.0890
0.349208, 25.9687, 0.0608
0.354031, 26.2434, 0.1023
0.354219, 26.1366, 0.0590
0.354738, 26.0609, 0.0848
0.357565, 25.9695, 0.0885
0.359664, 26.1703, 0.0834
0.360471, 26.1330, 0.0784
0.360962, 26.0276, 0.0914
0.361792, 26.2547, 0.1043
0.365050, 26.1161, 0.0644
0.370268, 26.1709, 0.1010
0.371633, 26.2855, 0.0560
0.372597, 26.1469, 0.0721
0.375127, 26.2727, 0.0892
0.379977, 26.3032, 0.0744
0.381130, 26.3384, 0.0679
0.385424, 26.4192, 0.0850
0.392025, 26.2636, 0.0900
0.409076, 26.5734, 0.0798
0.415111, 26.6710, 0.0914
0.418008, 26.4946, 0.0735
0.427055, 26.6104, 0.0765
0.427463, 26.6386, 0.0825
0.433062, 26.7486, 0.0791
0.439181, 26.5540, 0.0882
0.444365, 26.7013, 0.0837
0.445041, 26.7266, 0.0609
0.451543, 26.6521, 0.0773
0.452504, 26.7582, 0.0680
0.454001, 26.7034, 0.0710
0.454396, 26.8331, 0.0662
0.457063, 26.6992, 0.1049
0.460560, 26.6569, 0.0760
0.470555, 26.8461, 0.0821
0.471788, 26.7893, 0.0665
0.474408, 26.9496, 0.0649
0.477357, 26.7379, 0.0947
0.478540, 26.9676, 0.0638
0.480260, 26.8754, 0.0606
0.480967, 26.9168, 0.0996
0.489092, 26.7411, 0.0858
0.492508, 27.0855, 0.0798
0.495064, 26.9520, 0.0815
0.497840, 27.0308, 0.0948
0.500417, 27.0746, 0.0977
0.500619, 26.9150, 0.1007
0.508437, 26.9907, 0.0928
0.515605, 26.9291, 0.0884
0.535397, 27.3437, 0.0865
0.547133, 27.2200, 0.0862
0.547611, 27.3590, 0.0896
0.559497, 27.2838, 0.0829
0.565455, 27.3829, 0.0968
0.572462, 27.3502, 0.0620
0.585285, 27.4947, 0.0713
0.587096, 27.5581, 0.0666
0.587931, 27.4238, 0.0993
0.589424, 27.6079, 0.1005
0.597120, 27.5422, 0.0691
0.603088, 27.6359, 0.0618
0.603629, 27.5423, 0.0794
0.615574, 27.5494, 0.0882
0.620673, 27.6102, 0.0787
0.625367, 27.5989, 0.1027
0.638787, 27.6801, 0.0645
0.639893, 27.5354, 0.0996
0.640756, 27.7396, 0.1014
0.640893, 27.6161, 0.0837
0.641616, 27.7528, 0.0604
0.646274, 27.6621, 0.0796
0.648969, 27.6351, 0.0800
0.651049, 27.7749, 0.0914
0.652539, 27.6762, 0.0825
0.653723, 27.6872, 0.0671
0.659528, 27.7195, 0.0925
0.681734, 27.6798, 0.0997
0.698873, 27.9292, 0.0593
0.699386, 27.7394, 0.0942
0.705278, 27.9041, 0.0746
0.711267, 27.9152, 0.0850
0.711310, 27.9637, 0.0843
0.726441, 28.0488, 0.0734
0.728121, 27.9093, 0.0767
0.731292, 27.9172, 0.0724
0.733219, 27.9969, 0.0618
0.740934, 27.9742, 0.0572
0.743412, 28.0319, 0.0754
0.750498, 28.1833, 0.0853
0.752139, 28.1103, 0.0811
0.754526, 28.0621, 0.0845
0.758624, 28.0553, 0.0863
0.759161, 28.0729, 0.0755
0.760677, 28.1789, 0.0595
0.771651, 28.3526, 0.0983
0.772990, 28.2485, 0.0640
0.780864, 28.0433, 0.0898
0.782808, 28.2423, 0.1005
0.787174, 28.2228, 0.0698
0.795702, 28.2967, 0.0953
0.800230, 28.1906, 0.0723
0.814977, 28.1994, 0.0802
0.817597, 28.2903, 0.0794
0.824385, 28.3573, 0.1018
0.825697, 28.2913, 0.0775
0.836528, 28.3320, 0.1045
0.843006, 28.4648, 0.0978
0.843691, 28.4132, 0.0640
0.873910, 28.4971, 0.1019
0.874051, 28.4957, 0.0862
0.878353, 28.6392, 0.0992
0.885081, 28.4249, 0.0652
0.892477, 28.4943, 0.0735
0.894565, 28.5693, 0.0581
0.899033, 28.6037, 0.0787
0.905797, 28.5261, 0.0848
0.905877, 28.6443, 0.0761
0.906200, 28.6989, 0.0647
0.916660, 28.5201, 0.0876
0.917878, 28.7000, 0.0615
0.923247, 28.7982, 0.0983
0.927645, 28.6250, 0.0900
0.940926, 28.6780, 0.0808
0.951694, 28.8386, 0.0957
0.955327, 28.8545, 0.0988
0.972593, 28.9249, 0.0847
0.978425, 28.8909, 0.0695
0.987750, 29.0367, 0.0779
0.995046, 28.9006, 0.0554
0.999961, 28.8532, 0.0823
