# Data5
# zs, mu, muerr
0.022183, 19.6345, 0.0733
0.025017, 19.7109, 0.0863
0.030548, 20.3815, 0.0993
0.037793, 20.7639, 0.0707
0.040797, 21.0720, 0.0980
0.041765, 21.0359, 0.0562
0.043854, 21.1667, 0.0856
0.049766, 21.1944, 0.0754
0.060610, 21.8658, 0.0616
0.067716, 22.0959, 0.0608
0.068928, 21.9773, 0.0865
0.072121, 22.3377, 0.0928
0.073364, 22.2375, 0.0952
0.075471, 22.1458, 0.0762
0.078317, 22.3689, 0.0555
0.091492, 22.6359, 0.0727
0.109134, 23.1648, 0.0681
0.110020, 23.0922, 0.1020
0.123910, 23.2958, 0.0600
0.124139, 23.4358, 0.1046
0.134115, 23.7531, 0.1018
0.136710, 23.7354, 0.0719
0.138906, 23.6479, 0.0911
0.139418, 23.6775, 0.0702
0.148662, 23.7322, 0.0687
0.154820, 23.8817, 0.0674
0.162350, 23.9348, 0.0999
0.162920, 23.8786, 0.0637
0.169133, 23.9857, 0.0803
0.169586, 24.0231, 0.0768
0.170923, 24.0824, 0.0793
0.176165, 23.9727, 0.0786
0.177011, 24.3719, 0.0824
0.180092, 24.1683, 0.0994
0.188156, 24.1305, 0.1046
0.207104, 24.5245, 0.0602
0.210187, 24.5187, 0.0663
0.211583, 24.6640, 0.0920
0.212960, 24.5149, 0.0928
0.220379, 24.6965, 0.0584
0.222403, 24.6435, 0.0581
0.234328, 24.9716, 0.0697
0.234865, 24.7530, 0.0551
0.234941, 24.8858, 0.0960
0.238508, 24.8881, 0.0553
0.239902, 24.8371, 0.0940
0.248115, 25.0263, 0.0560
0.251004, 24.9481, 0.0849
0.252697, 24.9207, 0.0658
0.256898, 25.0333, 0.0804
0.266340, 24.9081, 0.0932
0.269495, 25.0907, 0.0702
0.270337, 25.0679, 0.0684
0.273624, 25.0957, 0.0766
0.277562, 25.0829, 0.0913
0.281172, 25.1828, 0.0694
0.293906, 25.4244, 0.0825
0.294696, 25.2906, 0.0958
0.310298, 25.2822, 0.0923
0.311739, 25.3745, 0.1039
0.313673, 25.4956, 0.0766
0.315154, 25.4797, 0.0552
0.315612, 25.4171, 0.0673
0.324511, 25.4949, 0.1013
0.327130, 25.4692, 0.0663
0.338269, 25.5096, 0.1024
0.343116, 25.6066, 0.0890
0.349208, 25.5889, 0.0608
0.354031, 25.8592, 0.1023
0.354219, 25.7523, 0.0590
0.354738, 25.6761, 0.0848
0.357565, 25.5822, 0.0885
0.359664, 25.7811, 0.0834
0.360471, 25.7431, 0.0784
0.360962, 25.6372, 0.0914
0.361792, 25.8636, 0.1043
0.365050, 25.7221, 0.0644
0.370268, 25.7723, 0.1010
0.371633, 25.8856, 0.0560
0.372597, 25.7462, 0.0721
0.375127, 25.8698, 0.0892
0.379977, 25.8960, 0.0744
0.381130, 25.9302, 0.0679
0.385424, 26.0072, 0.0850
0.392025, 25.8459, 0.0900
0.409076, 26.1410, 0.0798
0.415111, 26.2335, 0.0914
0.418008, 26.0547, 0.0735
0.427055, 26.1630, 0.0765
0.427463, 26.1909, 0.0825
0.433062, 26.2962, 0.0791
0.439181, 26.0966, 0.0882
0.444365, 26.2396, 0.0837
0.445041, 26.2643, 0.0609
0.451543, 26.1846, 0.0773
0.452504, 26.2899, 0.0680
0.454001, 26.2339, 0.0710
0.454396, 26.3633, 0.0662
0.457063, 26.2272, 0.1049
0.460560, 26.1820, 0.0760
0.470555, 26.3633, 0.0821
0.471788, 26.3055, 0.0665
0.474408, 26.4638, 0.0649
0.477357, 26.2497, 0.0947
0.478540, 26.4785, 0.0638
0.480260, 26.3850, 0.0606
0.480967, 26.4258, 0.0996
0.489092, 26.2438, 0.0858
0.492508, 26.5855, 0.0798
0.495064, 26.4500, 0.0815
0.497840, 26.5267, 0.0948
0.500417, 26.5685, 0.0977
0.500619, 26.4087, 0.1007
0.508437, 26.4785, 0.0928
0.515605, 26.4114, 0.0884
0.535397, 26.8112, 0.0865
0.547133, 26.6789, 0.0862
0.547611, 26.8176, 0.0896
0.559497, 26.7338, 0.0829
0.565455, 26.8287, 0.0968
0.572462, 26.7909, 0.0620
0.585285, 26.9265, 0.0713
0.587096, 26.9885, 0.0666
0.587931, 26.8537, 0.0993
0.589424, 27.0368, 0.1005
0.597120, 26.9657, 0.0691
0.603088, 27.0553, 0.0618
0.603629, 26.9613, 0.0794
0.615574, 26.9603, 0.0882
0.620673, 27.0177, 0.0787
0.625367, 27.0032, 0.1027
0.638787, 27.0756, 0.0645
0.639893, 26.9301, 0.0996
0.640756, 27.1338, 0.1014
0.640893, 27.0102, 0.0837
0.641616, 27.1464, 0.0604
0.646274, 27.0527, 0.0796
0.648969, 27.0240, 0.0800
0.651049, 27.1624, 0.0914
0.652539, 27.0627, 0.0825
0.653723, 27.0729, 0.0671
0.659528, 27.1015, 0.0925
0.681734, 27.0477, 0.0997
0.698873, 27.2865, 0.0593
0.699386, 27.0964, 0.0942
0.705278, 27.2574, 0.0746
0.711267, 27.2649, 0.0850
0.711310, 27.3134, 0.0843
0.726441, 27.3894, 0.0734
0.728121, 27.2489, 0.0767
0.731292, 27.2549, 0.0724
0.733219, 27.3335, 0.0618
0.740934, 27.3062, 0.0572
0.743412, 27.3624, 0.0754
0.750498, 27.5098, 0.0853
0.752139, 27.4358, 0.0811
0.754526, 27.3862, 0.0845
0.758624, 27.3770, 0.0863
0.759161, 27.3943, 0.0755
0.760677, 27.4994, 0.0595
0.771651, 27.6669, 0.0983
0.772990, 27.5620, 0.0640
0.780864, 27.3524, 0.0898
0.782808, 27.5503, 0.1005
0.787174, 27.5284, 0.0698
0.795702, 27.5975, 0.0953
0.800230, 27.4889, 0.0723
0.814977, 27.4897, 0.0802
0.817597, 27.5791, 0.0794
0.824385, 27.6425, 0.1018
0.825697, 27.5757, 0.0775
0.836528, 27.6107, 0.1045
0.843006, 27.7401, 0.0978
0.843691, 27.6882, 0.0640
0.873910, 27.7564, 0.1019
0.874051, 27.7550, 0.0862
0.878353, 27.8963, 0.0992
0.885081, 27.6786, 0.0652
0.892477, 27.7442, 0.0735
0.894565, 27.8182, 0.0581
0.899033, 27.8504, 0.0787
0.905797, 27.7695, 0.0848
0.905877, 27.8877, 0.0761
0.906200, 27.9421, 0.0647
0.916660, 27.7581, 0.0876
0.917878, 27.9375, 0.0615
0.923247, 28.0330, 0.0983
0.927645, 27.8578, 0.0900
0.940926, 27.9044, 0.0808
0.951694, 28.0600, 0.0957
0.955327, 28.0742, 0.0988
0.972593, 28.1366, 0.0847
0.978425, 28.0999, 0.0695
0.987750, 28.2415, 0.0779
0.995046, 28.1021, 0.0554
0.999961, 28.0525, 0.0823
