# Data6
# zs, mu, muerr
0.022183, 19.6747, 0.0733
0.025017, 19.7561, 0.0863
0.030548, 20.4364, 0.0993
0.037793, 20.8315, 0.0707
0.040797, 21.1448, 0.0980
0.041765, 21.1103, 0.0562
0.043854, 21.2447, 0.0856
0.049766, 21.2825, 0.0754
0.060610, 21.9721, 0.0616
0.067716, 22.2139, 0.0608
0.068928, 22.0973, 0.0865
0.072121, 22.4630, 0.0928
0.073364, 22.3648, 0.0952
0.075471, 22.2766, 0.0762
0.078317, 22.5042, 0.0555
0.091492, 22.7923, 0.0727
0.109134, 23.3486, 0.0681
0.110020, 23.2773, 0.1020
0.123910, 23.5020, 0.0600
0.124139, 23.6423, 0.1046
0.134115, 23.9744, 0.1018
0.136710, 23.9605, 0.0719
0.138906, 23.8762, 0.0911
0.139418, 23.9065, 0.0702
0.148662, 23.9746, 0.0687
0.154820, 24.1329, 0.0674
0.162350, 24.1966, 0.0999
0.162920, 24.1412, 0.0637
0.169133, 24.2569, 0.0803
0.169586, 24.2949, 0.0768
0.170923, 24.3561, 0.0793
0.176165, 24.2535, 0.0786
0.177011, 24.6539, 0.0824
0.180092, 24.4545, 0.0994
0.188156, 24.4276, 0.1046
0.207104, 24.8465, 0.0602
0.210187, 24.8447, 0.0663
0.211583, 24.9918, 0.0920
0.212960, 24.8444, 0.0928
0.220379, 25.0355, 0.0584
0.222403, 24.9851, 0.0581
0.234328, 25.3281, 0.0697
0.234865, 25.1102, 0.0551
0.234941, 25.2430, 0.0960
0.238508, 25.2498, 0.0553
0.239902, 25.2005, 0.0940
0.248115, 25.3996, 0.0560
0.251004, 25.3249, 0.0849
0.252697, 25.2996, 0.0658
0.256898, 25.4172, 0.0804
0.266340, 25.3031, 0.0932
0.269495, 25.4894, 0.0702
0.270337, 25.4676, 0.0684
0.273624, 25.4992, 0.0766
0.277562, 25.4909, 0.0913
0.281172, 25.5949, 0.0694
0.293906, 25.8509, 0.0825
0.294696, 25.7180, 0.0958
0.310298, 25.7268, 0.0923
0.311739, 25.8207, 0.1039
0.313673, 25.9439, 0.0766
0.315154, 25.9296, 0.0552
0.315612, 25.8675, 0.0673
0.324511, 25.9548, 0.1013
0.327130, 25.9319, 0.0663
0.338269, 25.9840, 0.1024
0.343116, 26.0859, 0.0890
0.349208, 26.0745, 0.0608
0.354031, 26.3498, 0.1023
0.354219, 26.2430, 0.0590
0.354738, 26.1673, 0.0848
0.357565, 26.0763, 0.0885
0.359664, 26.2773, 0.0834
0.360471, 26.2401, 0.0784
0.360962, 26.1347, 0.0914
0.361792, 26.3619, 0.1043
0.365050, 26.2236, 0.0644
0.370268, 26.2790, 0.1010
