# Data1
# zs, mu, muerr
0.022183, 19.6577, 0.0733
0.025017, 19.7369, 0.0863
0.030548, 20.4132, 0.0993
0.037793, 20.8029, 0.0707
0.040797, 21.1140, 0.0980
0.041765, 21.0788, 0.0562
0.043854, 21.2117, 0.0856
0.049766, 21.2453, 0.0754
0.060610, 21.9273, 0.0616
0.067716, 22.1643, 0.0608
0.068928, 22.0469, 0.0865
0.072121, 22.4104, 0.0928
0.073364, 22.3114, 0.0952
0.075471, 22.2217, 0.0762
0.078317, 22.4475, 0.0555
0.091492, 22.7269, 0.0727
0.109134, 23.2722, 0.0681
0.110020, 23.2003, 0.1020
0.123910, 23.4166, 0.0600
0.124139, 23.5568, 0.1046
0.134115, 23.8830, 0.1018
0.136710, 23.8676, 0.0719
0.138906, 23.7820, 0.0911
0.139418, 23.8120, 0.0702
0.148662, 23.8749, 0.0687
0.154820, 24.0298, 0.0674
0.162350, 24.0893, 0.0999
0.162920, 24.0336, 0.0637
0.169133, 24.1461, 0.0803
0.169586, 24.1838, 0.0768
0.170923, 24.2443, 0.0793
0.176165, 24.1390, 0.0786
0.177011, 24.5389, 0.0824
0.180092, 24.3379, 0.0994
0.188156, 24.3069, 0.1046
0.207104, 24.7165, 0.0602
0.210187, 24.7132, 0.0663
0.211583, 24.8597, 0.0920
0.212960, 24.7116, 0.0928
0.220379, 24.8992, 0.0584
0.222403, 24.8479, 0.0581
0.234328, 25.1855, 0.0697
0.234865, 24.9673, 0.0551
0.234941, 25.1001, 0.0960
0.238508, 25.1053, 0.0553
0.239902, 25.0554, 0.0940
0.248115, 25.2510, 0.0560
0.251004, 25.1750, 0.0849
0.252697, 25.1490, 0.0658
0.256898, 25.2648, 0.0804
0.266340, 25.1469, 0.0932
0.269495, 25.3318, 0.0702
0.270337, 25.3097, 0.0684
0.273624, 25.3400, 0.0766
0.277562, 25.3302, 0.0913
0.281172, 25.4328, 0.0694
0.293906, 25.6839, 0.0825
0.294696, 25.5507, 0.0958
0.310298, 25.5538, 0.0923
0.311739, 25.6471, 0.1039
0.313673, 25.7697, 0.0766
0.315154, 25.7549, 0.0552
0.315612, 25.6925, 0.0673
0.324511, 25.7768, 0.1013
0.327130, 25.7530, 0.0663
0.338269, 25.8014, 0.1024
0.343116, 25.9017, 0.0890
0.349208, 25.8884, 0.0608
0.354031, 26.1621, 0.1023
0.354219, 26.0552, 0.0590
0.354738, 25.9794, 0.0848
0.357565, 25.8875, 0.0885
0.359664, 26.0878, 0.0834
0.360471, 26.0504, 0.0784
0.360962, 25.9449, 0.0914
0.361792, 26.1719, 0.1043
0.365050, 26.0326, 0.0644
0.370268, 26.0864, 0.1010
0.371633, 26.2006, 0.0560
0.372597, 26.0619, 0.0721
0.375127, 26.1872, 0.0892
0.379977, 26.2167, 0.0744
0.381130, 26.2517, 0.0679
0.385424, 26.3316, 0.0850
0.392025, 26.1748, 0.0900
0.409076, 26.4813, 0.0798
0.415111, 26.5778, 0.0914
0.418008, 26.4009, 0.0735
0.427055, 26.5150, 0.0765
0.427463, 26.5432, 0.0825
0.433062, 26.6522, 0.0791
0.439181, 26.4565, 0.0882
0.444365, 26.6029, 0.0837
0.445041, 26.6280, 0.0609
0.451543, 26.5524, 0.0773
0.452504, 26.6583, 0.0680
0.454001, 26.6033, 0.0710
0.454396, 26.7329, 0.0662
0.457063, 26.5985, 0.1049
0.460560, 26.5556, 0.0760
0.470555, 26.7432, 0.0821
0.471788, 26.6861, 0.0665
0.474408, 26.8460, 0.0649
0.477357, 26.6338, 0.0947
0.478540, 26.8633, 0.0638
0.480260, 26.7708, 0.0606
0.480967, 26.8121, 0.0996
0.489092, 26.6351, 0.0858
0.492508, 26.9790, 0.0798
0.495064, 26.8450, 0.0815
0.497840, 26.9234, 0.0948
0.500417, 26.9667, 0.0977
0.500619, 26.8071, 0.1007
