# Data3
# zs, mu, muerr
0.022183, 19.6660, 0.0733
0.025017, 19.7463, 0.0863
0.030548, 20.4246, 0.0993
0.037793, 20.8170, 0.0707
0.040797, 21.1292, 0.0980
0.041765, 21.0944, 0.0562
0.043854, 21.2281, 0.0856
0.049766, 21.2638, 0.0754
0.060610, 21.9498, 0.0616
0.067716, 22.1893, 0.0608
0.068928, 22.0723, 0.0865
0.072121, 22.4369, 0.0928
0.073364, 22.3384, 0.0952
0.075471, 22.2495, 0.0762
0.078317, 22.4762, 0.0555
0.091492, 22.7603, 0.0727
0.109134, 23.3117, 0.0681
0.110020, 23.2401, 0.1020
0.123910, 23.4611, 0.0600
0.124139, 23.6014, 0.1046
0.134115, 23.9310, 0.1018
0.136710, 23.9164, 0.0719
0.138906, 23.8316, 0.0911
0.139418, 23.8618, 0.0702
0.148662, 23.9278, 0.0687
0.154820, 24.0846, 0.0674
0.162350, 24.1466, 0.0999
0.162920, 24.0911, 0.0637
0.169133, 24.2055, 0.0803
0.169586, 24.2435, 0.0768
0.170923, 24.3043, 0.0793
0.176165, 24.2007, 0.0786
0.177011, 24.6010, 0.0824
0.180092, 24.4009, 0.0994
0.188156, 24.3725, 0.1046
0.207104, 24.7880, 0.0602
0.210187, 24.7857, 0.0663
0.211583, 24.9325, 0.0920
0.212960, 24.7849, 0.0928
0.220379, 24.9748, 0.0584
0.222403, 24.9241, 0.0581
0.234328, 25.2653, 0.0697
0.234865, 25.0473, 0.0551
0.234941, 25.1801, 0.0960
0.238508, 25.1864, 0.0553
0.239902, 25.1369, 0.0940
0.248115, 25.3349, 0.0560
0.251004, 25.2598, 0.0849
0.252697, 25.2343, 0.0658
0.256898, 25.3514, 0.0804
0.266340, 25.2361, 0.0932
0.269495, 25.4220, 0.0702
0.270337, 25.4001, 0.0684
0.273624, 25.4313, 0.0766
0.277562, 25.4227, 0.0913
0.281172, 25.5263, 0.0694
0.293906, 25.7810, 0.0825
0.294696, 25.6480, 0.0958
0.310298, 25.6555, 0.0923
0.311739, 25.7492, 0.1039
0.313673, 25.8723, 0.0766
0.315154, 25.8579, 0.0552
0.315612, 25.7957, 0.0673
0.324511, 25.8824, 0.1013
0.327130, 25.8592, 0.0663
0.338269, 25.9106, 0.1024
0.343116, 26.0122, 0.0890
0.349208, 26.0005, 0.0608
0.354031, 26.2755, 0.1023
0.354219, 26.1687, 0.0590
0.354738, 26.0930, 0.0848
0.357565, 26.0018, 0.0885
0.359664, 26.2027, 0.0834
0.360471, 26.1654, 0.0784
0.360962, 26.0601, 0.0914
0.361792, 26.2872, 0.1043
0.365050, 26.1488, 0.0644
0.370268, 26.2039, 0.1010
0.371633, 26.3185, 0.0560
0.372597, 26.1800, 0.0721
0.375127, 26.3060, 0.0892
0.379977, 26.3367, 0.0744
0.381130, 26.3720, 0.0679
0.385424, 26.4530, 0.0850
0.392025, 26.2979, 0.0900
0.409076, 26.6085, 0.0798
0.415111, 26.7065, 0.0914
0.418008, 26.5303, 0.0735
0.427055, 26.6466, 0.0765
0.427463, 26.6749, 0.0825
0.433062, 26.7852, 0.0791
0.439181, 26.5909, 0.0882
0.444365, 26.7385, 0.0837
0.445041, 26.7638, 0.0609
0.451543, 26.6897, 0.0773
0.452504, 26.7958, 0.0680
0.454001, 26.7411, 0.0710
0.454396, 26.8708, 0.0662
0.457063, 26.7371, 0.1049
0.460560, 26.6949, 0.0760
0.470555, 26.8847, 0.0821
0.471788, 26.8280, 0.0665
0.474408, 26.9885, 0.0649
0.477357, 26.7769, 0.0947
0.478540, 27.0067, 0.0638
0.480260, 26.9146, 0.0606
0.480967, 26.9560, 0.0996
0.489092, 26.7808, 0.0858
0.492508, 27.1254, 0.0798
0.495064, 26.9920, 0.0815
0.497840, 27.0710, 0.0948
0.500417, 27.1149, 0.0977
0.500619, 26.9553, 0.1007
0.508437, 27.0315, 0.0928
0.515605, 26.9702, 0.0884
0.535397, 27.3860, 0.0865
0.547133, 27.2630, 0.0862
0.547611, 27.4021, 0.0896
0.559497, 27.3275, 0.0829
0.565455, 27.4270, 0.0968
0.572462, 27.3947, 0.0620
0.585285, 27.5400, 0.0713
0.587096, 27.6034, 0.0666
0.587931, 27.4692, 0.0993
0.589424, 27.6534, 0.1005
0.597120, 27.5882, 0.0691
0.603088, 27.6822, 0.0618
0.603629, 27.5886, 0.0794
0.615574, 27.5964, 0.0882
0.620673, 27.6575, 0.0787
0.625367, 27.6465, 0.1027
0.638787, 27.7285, 0.0645
0.639893, 27.5839, 0.0996
0.640756, 27.7882, 0.1014
0.640893, 27.6647, 0.0837
0.641616, 27.8014, 0.0604
0.646274, 27.7111, 0.0796
0.648969, 27.6842, 0.0800
0.651049, 27.8242, 0.0914
0.652539, 27.7255, 0.0825
0.653723, 27.7366, 0.0671
0.659528, 27.7693, 0.0925
0.681734, 27.7309, 0.0997
0.698873, 27.9814, 0.0593
0.699386, 27.7917, 0.0942
0.705278, 27.9567, 0.0746
0.711267, 27.9682, 0.0850
0.711310, 28.0167, 0.0843
0.726441, 28.1028, 0.0734
0.728121, 27.9634, 0.0767
0.731292, 27.9716, 0.0724
0.733219, 28.0514, 0.0618
0.740934, 28.0291, 0.0572
0.743412, 28.0870, 0.0754
0.750498, 28.2389, 0.0853
0.752139, 28.1660, 0.0811
0.754526, 28.1179, 0.0845
0.758624, 28.1114, 0.0863
0.759161, 28.1290, 0.0755
0.760677, 28.2351, 0.0595
0.771651, 28.4096, 0.0983
0.772990, 28.3055, 0.0640
0.780864, 28.1009, 0.0898
0.782808, 28.3000, 0.1005
0.787174, 28.2808, 0.0698
0.795702, 28.3553, 0.0953
0.800230, 28.2495, 0.0723
0.814977, 28.2593, 0.0802
0.817597, 28.3503, 0.0794
0.824385, 28.4178, 0.1018
0.825697, 28.3518, 0.0775
0.836528, 28.3933, 0.1045
0.843006, 28.5266, 0.0978
0.843691, 28.4750, 0.0640
0.873910, 28.5609, 0.1019
0.874051, 28.5596, 0.0862
0.878353, 28.7033, 0.0992
0.885081, 28.4895, 0.0652
0.892477, 28.5594, 0.0735
0.894565, 28.6346, 0.0581
0.899033, 28.6693, 0.0787
0.905797, 28.5922, 0.0848
0.905877, 28.7104, 0.0761
0.906200, 28.7650, 0.0647
0.916660, 28.5869, 0.0876
0.917878, 28.7669, 0.0615
0.923247, 28.8654, 0.0983
0.927645, 28.6926, 0.0900
0.940926, 28.7465, 0.0808
0.951694, 28.9079, 0.0957
0.955327, 28.9240, 0.0988
0.972593, 28.9956, 0.0847
0.978425, 28.9620, 0.0695
0.987750, 29.1085, 0.0779
0.995046, 28.9729, 0.0554
0.999961, 28.9258, 0.0823
