# Data0
# zs, mu, muerr
0.022183, 19.6624, 0.0733
0.025017, 19.7422, 0.0863
0.030548, 20.4196, 0.0993
0.037793, 20.8108, 0.0707
0.040797, 21.1226, 0.0980
0.041765, 21.0876, 0.0562
0.043854, 21.2209, 0.0856
0.049766, 21.2557, 0.0754
0.060610, 21.9399, 0.0616
0.067716, 22.1782, 0.0608
0.068928, 22.0610, 0.0865
0.072121, 22.4251, 0.0928
0.073364, 22.3264, 0.0952
0.075471, 22.2371, 0.0762
0.078317, 22.4634, 0.0555
0.091492, 22.7453, 0.0727
0.109134, 23.2938, 0.0681
0.110020, 23.2221, 0.1020
0.123910, 23.4408, 0.0600
0.124139, 23.5810, 0.1046
0.134115, 23.9090, 0.1018
0.136710, 23.8940, 0.0719
0.138906, 23.8088, 0.0911
0.139418, 23.8389, 0.0702
0.148662, 23.9033, 0.0687
0.154820, 24.0592, 0.0674
0.162350, 24.1200, 0.0999
0.162920, 24.0644, 0.0637
0.169133, 24.1778, 0.0803
0.169586, 24.2156, 0.0768
0.170923, 24.2763, 0.0793
0.176165, 24.1718, 0.0786
0.177011, 24.5719, 0.0824
0.180092, 24.3713, 0.0994
0.188156, 24.3416, 0.1046
0.207104, 24.7540, 0.0602
0.210187, 24.7512, 0.0663
0.211583, 24.8978, 0.0920
0.212960, 24.7500, 0.0928
0.220379, 24.9387, 0.0584
0.222403, 24.8876, 0.0581
0.234328, 25.2269, 0.0697
0.234865, 25.0088, 0.0551
0.234941, 25.1416, 0.0960
0.238508, 25.1473, 0.0553
0.239902, 25.0976, 0.0940
0.248115, 25.2943, 0.0560
0.251004, 25.2187, 0.0849
0.252697, 25.1929, 0.0658
0.256898, 25.3093, 0.0804
0.266340, 25.1926, 0.0932
0.269495, 25.3779, 0.0702
0.270337, 25.3559, 0.0684
0.273624, 25.3866, 0.0766
0.277562, 25.3773, 0.0913
0.281172, 25.4804, 0.0694
0.293906, 25.7330, 0.0825
0.294696, 25.5999, 0.0958
0.310298, 25.6049, 0.0923
0.311739, 25.6984, 0.1039
0.313673, 25.8212, 0.0766
0.315154, 25.8065, 0.0552
0.315612, 25.7442, 0.0673
0.324511, 25.8295, 0.1013
0.327130, 25.8060, 0.0663
0.338269, 25.8556, 0.1024
0.343116, 25.9565, 0.0890
0.349208, 25.9438, 0.0608
0.354031, 26.2180, 0.1023
0.354219, 26.1112, 0.0590
0.354738, 26.0354, 0.0848
0.357565, 25.9438, 0.0885
0.359664, 26.1443, 0.0834
0.360471, 26.1070, 0.0784
0.360962, 26.0015, 0.0914
0.361792, 26.2286, 0.1043
0.365050, 26.0896, 0.0644
0.370268, 26.1439, 0.1010
0.371633, 26.2583, 0.0560
0.372597, 26.1197, 0.0721
0.375127, 26.2452, 0.0892
0.379977, 26.2752, 0.0744
0.381130, 26.3104, 0.0679
0.385424, 26.3907, 0.0850
0.392025, 26.2345, 0.0900
0.409076, 26.5426, 0.0798
0.415111, 26.6396, 0.0914
0.418008, 26.4630, 0.0735
0.427055, 26.5779, 0.0765
0.427463, 26.6061, 0.0825
0.433062, 26.7155, 0.0791
0.439181, 26.5204, 0.0882
0.444365, 26.6672, 0.0837
0.445041, 26.6924, 0.0609
0.451543, 26.6173, 0.0773
0.452504, 26.7233, 0.0680
0.454001, 26.6684, 0.0710
0.454396, 26.7980, 0.0662
0.457063, 26.6639, 0.1049
0.460560, 26.6212, 0.0760
0.470555, 26.8095, 0.0821
0.471788, 26.7526, 0.0665
0.474408, 26.9127, 0.0649
0.477357, 26.7007, 0.0947
0.478540, 26.9303, 0.0638
0.480260, 26.8380, 0.0606
0.480967, 26.8793, 0.0996
0.489092, 26.7029, 0.0858
0.492508, 27.0470, 0.0798
0.495064, 26.9132, 0.0815
0.497840, 26.9918, 0.0948
0.500417, 27.0353, 0.0977
0.500619, 26.8757, 0.1007
0.508437, 26.9507, 0.0928
0.515605, 26.8884, 0.0884
0.535397, 27.3014, 0.0865
0.547133, 27.1766, 0.0862
0.547611, 27.3157, 0.0896
0.559497, 27.2394, 0.0829
0.565455, 27.3381, 0.0968
0.572462, 27.3048, 0.0620
0.585285, 27.4483, 0.0713
0.587096, 27.5115, 0.0666
